"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\UpdatePassword\UpdatePassword.css", "CSS", 0, 0, 40, 11, 7, 58
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\UpdatePassword\UpdatePassword.jsx", "JavaScript JSX", 0, 56, 0, 13, 12, 81
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\UpdateProfile\UpdateProfile.css", "CSS", 0, 0, 60, 11, 10, 81
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\UpdateProfile\UpdateProfile.jsx", "JavaScript JSX", 0, 88, 0, 14, 21, 123
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\UserProfile\UserProfile.jsx", "JavaScript JSX", 0, 185, 0, 14, 23, 222
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Components\User\User.jsx", "JavaScript JSX", 0, 12, 0, 14, 3, 29
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Reducers\Cart.js", "JavaScript", 35, 0, 0, 32, 9, 76
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Reducers\Order.js", "JavaScript", 147, 0, 0, 181, 23, 351
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Reducers\Post.js", "JavaScript", 174, 0, 0, 205, 18, 397
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\Reducers\User.js", "JavaScript", 123, 0, 0, 196, 10, 329
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\index.js", "JavaScript", 22, 0, 0, 13, 4, 39
"d:\MERN App\RamaporoadRunners-Mart\frontend\src\store.js", "JavaScript", 41, 0, 0, 13, 11, 65
"Total", "-", 2512, 1430, 1778, 2031, 1134, 8885
